382,Controller Customization,Fine motor,N/A,34
383,Partial,Fine motor,N/A,34
384,Sticks,Fine motor,N/A,34
385,Buttons,Fine motor,N/A,34
386,Pause Gameplay,General,N/A,35
387,Save Progress,General,N/A,35
388,Dedicated Accessibility Menu,General,N/A,35
389,Tutorials,General,N/A,35
390,Volume Controls,Auditory,N/A,35
391,Subtitles,Auditory,N/A,35
392,Resizable,Auditory,N/A,35
393,Background,Auditory,N/A,35
394,Adjustable Interface Text,Visual,N/A,35
395,Change Button Holds To Toggles,Fine motor,N/A,35
396,Pause Gameplay,General,N/A,36
397,Save Progress,General,N/A,36
398,Dedicated Accessibility Menu,General,N/A,36
399,Tutorials,General,N/A,36
400,Volume Controls,Auditory,N/A,36
401,Subtitles,Auditory,N/A,36
402,Contrast Settings,Visual,N/A,36
403,Colorblind Filters,Color,N/A,36
404,Controller Customization,Fine motor,N/A,36
405,Partial,Fine motor,N/A,36
406,Sticks,Fine motor,N/A,36
407,Buttons,Fine motor,N/A,36
408,Pause Gameplay,General,N/A,37
409,Save Progress,General,N/A,37
410,Tutorials,General,N/A,37
411,Volume Controls,Auditory,N/A,37
412,Pause Gameplay,General,N/A,38
413,Save Progress,General,N/A,38
414,Tutorials,General,N/A,38
415,Difficulty Options,General,N/A,38
416,Volume Controls,Auditory,N/A,38
417,Subtitles,Auditory,N/A,38
418,Adjustable Interface Text,Visual,N/A,38
419,Required Motion Controls,Fine motor,N/A,38
420,Pause Gameplay,General,N/A,39
421,Internet Connection Required,General,N/A,39
422,Save Progress,General,N/A,39
423,Tutorials,General,N/A,39
424,Difficulty Options,General,N/A,39
425,Fixed Save Points,General,N/A,39
426,Volume Controls,Auditory,N/A,39
427,Subtitles,Auditory,N/A,39
428,Resizable,Auditory,N/A,39
429,Background,Auditory,N/A,39
430,Contrast Settings,Visual,N/A,39
431,Adjustable Interface Text,Visual,N/A,39
432,Narrator,Visual,N/A,39
433,Customize HUD Color Scheme,Color,N/A,39
434,Change Button Holds To Toggles,Fine motor,N/A,39
435,Change Repeated Taps,Fine motor,N/A,39
436,Quick-Time Events (QTEs),Fine motor,N/A,39
437,Controller Customization,Fine motor,N/A,39
438,Keyboard Rebinding,Fine motor,N/A,39
439,Mouse Rebinding,Fine motor,N/A,39
440,Pause Gameplay,General,N/A,40
441,Save Progress,General,N/A,40
442,Tutorials,General,N/A,40
443,Difficulty Options,General,N/A,40
444,Fixed Save Points,General,N/A,40
445,Volume Controls,Auditory,N/A,40
446,Subtitles,Auditory,N/A,40
447,Resizable,Auditory,N/A,40
448,Contrast Settings,Visual,N/A,40
449,Narrator,Visual,N/A,40
450,Colorblind Filters,Color,N/A,40
451,Required Motion Controls,Fine motor,N/A,40
452,Change Repeated Taps,Fine motor,N/A,40
453,Quick-Time Events (QTEs),Fine motor,N/A,40
454,Controller Customization,Fine motor,N/A,40
455,Keyboard Rebinding,Fine motor,N/A,40
456,Mouse Rebinding,Fine motor,N/A,40
457,Pause Gameplay,General,N/A,41
458,Save Progress,General,N/A,41
459,Fixed Save Points,General,N/A,41
460,Volume Controls,Auditory,N/A,41
461,Pause Gameplay,General,N/A,42
462,Dedicated Accessibility Menu,General,N/A,42
463,Tutorials,General,N/A,42
464,Difficulty Options,General,N/A,42
465,Fixed Save Points,General,N/A,42
466,Volume Controls,Auditory,N/A,42
467,Subtitles,Auditory,N/A,42
468,Resizable,Auditory,N/A,42
469,Background,Auditory,N/A,42
470,Contrast Settings,Visual,N/A,42
471,Narrator,Visual,N/A,42
472,Colorblind Filters,Color,N/A,42
473,Controller Customization,Fine motor,N/A,42
474,Pause Gameplay,General,N/A,43
475,Save Progress,General,N/A,43
476,Dedicated Accessibility Menu,General,N/A,43
477,Tutorials,General,N/A,43
478,Difficulty Options,General,N/A,43
479,Volume Controls,Auditory,N/A,43
480,Subtitles,Auditory,N/A,43
481,Resizable,Auditory,N/A,43
482,Contrast Settings,Visual,N/A,43
483,Adjustable Interface Text,Visual,N/A,43
484,Colorblind Filters,Color,N/A,43
485,Change Button Holds To Toggles,Fine motor,N/A,43
486,Quick-Time Events (QTEs),Fine motor,N/A,43
487,Controller Customization,Fine motor,N/A,43
488,Keyboard Rebinding,Fine motor,N/A,43
489,Mouse Rebinding,Fine motor,N/A,43
490,Pause Gameplay,General,N/A,44
491,Save Progress,General,N/A,44
492,Dedicated Accessibility Menu,General,N/A,44
493,Tutorials,General,N/A,44
494,Difficulty Options,General,N/A,44
495,Fixed Save Points,General,N/A,44
496,Volume Controls,Auditory,N/A,44
497,Colorblind Filters,Color,N/A,44
498,Quick-Time Events (QTEs),Fine motor,N/A,44
499,Controller Customization,Fine motor,N/A,44
500,Partial,Fine motor,N/A,44
501,Keyboard Rebinding,Fine motor,N/A,44
502,Mouse Rebinding,Fine motor,N/A,44
503,Sticks,Fine motor,N/A,44
504,Buttons,Fine motor,N/A,44
505,Pause Gameplay,General,N/A,45
506,Save Progress,General,N/A,45
507,Dedicated Accessibility Menu,General,N/A,45
508,Tutorials,General,N/A,45
509,Difficulty Options,General,N/A,45
510,Volume Controls,Auditory,N/A,45
511,Subtitles,Auditory,N/A,45
512,Resizable,Auditory,N/A,45
513,Contrast Settings,Visual,N/A,45
514,Adjustable Interface Text,Visual,N/A,45
515,Required Motion Controls,Fine motor,N/A,45
516,Change Button Holds To Toggles,Fine motor,N/A,45
517,Quick-Time Events (QTEs),Fine motor,N/A,45
518,Controller Customization,Fine motor,N/A,45
519,Partial,Fine motor,N/A,45
520,Sticks,Fine motor,N/A,45
521,Buttons,Fine motor,N/A,45
522,Pause Gameplay,General,N/A,46
523,Save Progress,General,N/A,46
524,Dedicated Accessibility Menu,General,N/A,46
525,Tutorials,General,N/A,46
526,Difficulty Options,General,N/A,46
527,Volume Controls,Auditory,N/A,46
528,Subtitles,Auditory,N/A,46
529,Contrast Settings,Visual,N/A,46
530,Adjustable Interface Text,Visual,N/A,46
531,Change Button Holds To Toggles,Fine motor,N/A,46
532,Controller Customization,Fine motor,N/A,46
533,Partial,Fine motor,N/A,46
534,Sticks,Fine motor,N/A,46
535,Buttons,Fine motor,N/A,46
536,Pause Gameplay,General,N/A,47
537,Save Progress,General,N/A,47
538,Dedicated Accessibility Menu,General,N/A,47
539,Tutorials,General,N/A,47
540,Difficulty Options,General,N/A,47
541,Volume Controls,Auditory,N/A,47
542,Subtitles,Auditory,N/A,47
543,Resizable,Auditory,N/A,47
544,Background,Auditory,N/A,47
545,Contrast Settings,Visual,N/A,47
546,Adjustable Interface Text,Visual,N/A,47
547,Quick-Time Events (QTEs),Fine motor,N/A,47
548,Controller Customization,Fine motor,N/A,47
549,Partial,Fine motor,N/A,47
550,Buttons,Fine motor,N/A,47
551,Pause Gameplay,General,N/A,48
552,Save Progress,General,N/A,48
553,Tutorials,General,N/A,48
554,Difficulty Options,General,N/A,48
555,Fixed Save Points,General,N/A,48
556,Volume Controls,Auditory,N/A,48
557,Subtitles,Auditory,N/A,48
558,Contrast Settings,Visual,N/A,48
559,Quick-Time Events (QTEs),Fine motor,N/A,48
560,Pause Gameplay,General,N/A,49
561,Save Progress,General,N/A,49
562,Tutorials,General,N/A,49
563,Difficulty Options,General,N/A,49
564,Volume Controls,Auditory,N/A,49
565,Controller Customization,Fine motor,N/A,49
566,Partial,Fine motor,N/A,49
567,Sticks,Fine motor,N/A,49
568,Buttons,Fine motor,N/A,49
569,Pause Gameplay,General,N/A,50
570,Save Progress,General,N/A,50
571,Tutorials,General,N/A,50
572,Fixed Save Points,General,N/A,50
573,Volume Controls,Auditory,N/A,50
574,Pause Gameplay,General,N/A,51
575,Save Progress,General,N/A,51
576,Tutorials,General,N/A,51
577,Difficulty Options,General,N/A,51
578,Volume Controls,Auditory,N/A,51
579,Contrast Settings,Visual,N/A,51
580,Controller Customization,Fine motor,N/A,51
581,Partial,Fine motor,N/A,51
582,Sticks,Fine motor,N/A,51
583,Pause Gameplay,General,N/A,52
584,Save Progress,General,N/A,52
585,Fixed Save Points,General,N/A,52
586,Volume Controls,Auditory,N/A,52
587,Subtitles,Auditory,N/A,52
588,Contrast Settings,Visual,N/A,52
589,Controller Customization,Fine motor,N/A,52
590,Partial,Fine motor,N/A,52
591,Keyboard Rebinding,Fine motor,N/A,52
592,Mouse Rebinding,Fine motor,N/A,52
593,Sticks,Fine motor,N/A,52
594,Pause Gameplay,General,N/A,53
595,Save Progress,General,N/A,53
596,Tutorials,General,N/A,53
597,Difficulty Options,General,N/A,53
598,Fixed Save Points,General,N/A,53
599,Volume Controls,Auditory,N/A,53
600,Subtitles,Auditory,N/A,53
601,Contrast Settings,Visual,N/A,53
602,Keyboard Rebinding,Fine motor,N/A,53
603,Mouse Rebinding,Fine motor,N/A,53
604,Mouse Rebinding,Fine motor,N/A,53
605,Pause Gameplay,General,N/A,54
606,Save Progress,General,N/A,54
607,Tutorials,General,N/A,54
608,Difficulty Options,General,N/A,54
609,Fixed Save Points,General,N/A,54
610,Volume Controls,Auditory,N/A,54
611,Subtitles,Auditory,N/A,54
612,Controller Customization,Fine motor,N/A,54
613,Keyboard Rebinding,Fine motor,N/A,54
614,Save Progress,General,N/A,55
615,Tutorials,General,N/A,55
616,Difficulty Options,General,N/A,55
617,Volume Controls,Auditory,N/A,55
618,Pause Gameplay,General,N/A,56
619,Save Progress,General,N/A,56
620,Tutorials,General,N/A,56
621,Difficulty Options,General,N/A,56
622,Volume Controls,Auditory,N/A,56
623,Subtitles,Auditory,N/A,56
624,Resizable,Auditory,N/A,56
625,Contrast Settings,Visual,N/A,56
626,Narrator,Visual,N/A,56
627,Colorblind Filters,Color,N/A,56
628,Controller Customization,Fine motor,N/A,56
629,Partial,Fine motor,N/A,56
630,Keyboard Rebinding,Fine motor,N/A,56
631,Mouse Rebinding,Fine motor,N/A,56
632,Sticks,Fine motor,N/A,56
633,Buttons,Fine motor,N/A,56
634,Pause Gameplay,General,N/A,57
635,Save Progress,General,N/A,57
636,Fixed Save Points,General,N/A,57
637,Required Motion Controls,Fine motor,N/A,57
638,Controller Customization,Fine motor,N/A,57
639,Partial,Fine motor,N/A,57
640,Sticks,Fine motor,N/A,57
641,Buttons,Fine motor,N/A,57
642,Pause Gameplay,General,N/A,58
643,Save Progress,General,N/A,58
644,Tutorials,General,N/A,58
645,Difficulty Options,General,N/A,58
646,Fixed Save Points,General,N/A,58
647,Volume Controls,Auditory,N/A,58
648,Contrast Settings,Visual,N/A,58
649,Customize HUD Color Scheme,Color,N/A,58
650,Controller Customization,Fine motor,N/A,58
651,Partial,Fine motor,N/A,58
652,Sticks,Fine motor,N/A,58
653,Buttons,Fine motor,N/A,58
654,Pause Gameplay,General,N/A,59
655,Save Progress,General,N/A,59
656,Tutorials,General,N/A,59
657,Fixed Save Points,General,N/A,59
658,Pause Gameplay,General,N/A,60
659,Save Progress,General,N/A,60
660,Tutorials,General,N/A,60
661,Fixed Save Points,General,N/A,60
662,Pause Gameplay,General,N/A,61
663,Save Progress,General,N/A,61
664,Tutorials,General,N/A,61
665,Difficulty Options,General,N/A,61
666,Volume Controls,Auditory,N/A,61
667,Contrast Settings,Visual,N/A,61
668,Pause Gameplay,General,N/A,62
669,Save Progress,General,N/A,62
670,Tutorials,General,N/A,62
671,Difficulty Options,General,N/A,62
672,Volume Controls,Auditory,N/A,62
673,Contrast Settings,Visual,N/A,62
674,Pause Gameplay,General,N/A,63
675,Save Progress,General,N/A,63
676,Tutorials,General,N/A,63
677,Subtitles,Auditory,N/A,63
678,Dedicated Accessibility Menu,General,N/A,64
679,Difficulty Options,General,N/A,64
680,Volume Controls,Auditory,N/A,64
681,Contrast Settings,Visual,N/A,64
682,Narrator,Visual,N/A,64
683,Colorblind Filters,Color,N/A,64
684,Pause Gameplay,General,N/A,65
685,Save Progress,General,N/A,65
686,Dedicated Accessibility Menu,General,N/A,65
687,Tutorials,General,N/A,65
688,Difficulty Options,General,N/A,65
689,Fixed Save Points,General,N/A,65
690,Volume Controls,Auditory,N/A,65
691,Contrast Settings,Visual,N/A,65
692,Narrator,Visual,N/A,65
693,Colorblind Filters,Color,N/A,65
694,Save Progress,General,N/A,66
695,Tutorials,General,N/A,66
696,Difficulty Options,General,N/A,66
697,Subtitles,Auditory,N/A,66
698,Pause Gameplay,General,N/A,67
699,Save Progress,General,N/A,67
700,Fixed Save Points,General,N/A,67
701,Change Button Holds To Toggles,Fine motor,N/A,67
702,Save Progress,General,N/A,68
703,Tutorials,General,N/A,68
